FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,ReusedCore,Legs,Block,ReusedCount,Serial,Longitude,Latitude,Class,Year,ReusedFairings,CostCoreMil,CostFairingsMil,CostOtherMil,CostKgMil,CostTotalMil,RevenueReuseMil,RevenueKgMil,RevenueTotalMil,ProfitMil
79,5/30/2020,Falcon 9,9525,ISS,KSC LC 39A,True ASDS,1,1,0,1,5,2,B1058,-80.6039558,28.6080585,1,2020,0,30000000.00,6000000.00,14000000.00,66675000.00,116675000.00,62000000.00,95250000.00,157250000.00,40575000.00
80,6/4/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,5,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
81,6/13/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,3,B1059,-80.577366,28.5618571,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
82,6/30/2020,Falcon 9,3880,MEO,CCAFS SLC 40,True ASDS,1,1,0,1,5,2,B1060,-80.577366,28.5618571,1,2020,0,30000000.00,6000000.00,14000000.00,27160000.00,77160000.00,62000000.00,38800000.00,100800000.00,23640000.00
83,7/20/2020,Falcon 9,6104.959412,GEO,CCAFS SLC 40,True ASDS,2,1,1,1,5,2,B1058,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,42734715.88,62984715.88,50000000.00,61049594.12,111049594.10,48064878.22
84,8/18/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,6,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
85,8/30/2020,Falcon 9,1600,SSO,CCAFS SLC 40,True RTLS,4,1,1,1,5,3,B1059,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,11200000.00,31450000.00,50000000.00,16000000.00,66000000.00,34550000.00
86,9/3/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,2,1,1,1,5,2,B1060,-80.6039558,28.6080585,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
87,10/6/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,3,1,1,1,5,2,B1058,-80.6039558,28.6080585,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
88,10/18/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,6,1,1,1,5,5,B1051,-80.6039558,28.6080585,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
89,10/24/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,2,B1060,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
90,11/5/2020,Falcon 9,3681,MEO,CCAFS SLC 40,True ASDS,1,1,0,1,5,0,B1062,-80.577366,28.5618571,1,2020,0,30000000.00,6000000.00,14000000.00,25767000.00,75767000.00,62000000.00,36810000.00,98810000.00,23043000.00
